title,play_0,reward_0,regret_0,exploration_0,play_1,reward_1,regret_1,exploration_1
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0824201305668897,0.0,0.0,2.0,0.9591162277049424,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.8220030264043217,0.0,0.0,2.0,0.7240481974329871,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.49438709879790244,0.0,0.0,2.0,1.2721523275322948,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.9399459292566898,0.0,0.0,2.0,1.2917615309083816,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,1.0,0.5488752061148321,0.8,1.0,2.0,0.24710006959433517,0.8,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.1827258373156748,0.0,0.0,2.0,0.6483564657659109,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.8509638540975248,0.0,0.0,2.0,0.6499670320992531,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.393057323832898,0.0,0.0,2.0,0.5347438997016928,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.6850630942008797,0.0,0.0,2.0,1.2678205425711164,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.6305291991320082,0.0,0.0,2.0,1.2373578755849965,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.9711739166511942,0.0,0.0,2.0,1.1659817817653653,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0101994000385643,0.0,0.0,2.0,1.1036022489663797,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.281708015906598,0.0,0.0,2.0,1.2399465011138704,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.7443953217506687,0.0,0.0,2.0,1.1863499616534139,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0595696159775512,0.0,0.0,2.0,0.775395140231182,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.359174806308424,0.0,0.0,2.0,1.637137022566304,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.3226682066329203,0.0,0.0,2.0,1.3494054172030505,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.075289999051241,0.0,0.0,2.0,0.7906291533540559,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.23814615051549973,1.0,0.0,0.0,-0.008583945084321384,1.0,1.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0467091027486966,0.0,0.0,2.0,0.8757961563319365,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.9452219288134023,0.0,0.0,2.0,0.8116915152425183,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.1960088273470901,0.0,0.0,2.0,0.7604136845978315,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.1145067161359614,0.0,0.0,2.0,1.249991704281576,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.1431279042682683,0.0,0.0,2.0,0.7193619144408976,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0281863796056796,0.0,0.0,2.0,1.104457436856645,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.7249983694920692,0.0,0.0,2.0,1.1052466273921997,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0639311730176315,0.0,0.0,2.0,1.3098253713358332,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0719629067330334,0.0,0.0,2.0,0.9916231347037104,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0275280642417386,0.0,0.0,2.0,1.0379927763582937,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0422316169700625,0.0,0.0,2.0,1.1069802025360154,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.963870220102146,0.0,0.0,2.0,0.9453527877777589,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.1020359353716709,0.0,0.0,2.0,0.7602891382534777,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.8278660529721295,0.0,0.0,2.0,0.68844864752835,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.9887083889649079,0.0,0.0,2.0,0.7495674313773721,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.6434320935219815,0.0,0.0,2.0,0.4478598575308522,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.9543831235467115,0.0,0.0,2.0,1.2973049803929153,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,1.0,0.3722277847795682,0.8,1.0,2.0,-0.24710557939412559,0.8,0.0
SoftMax×TS_0.0_0.1_PG_WP,1.0,0.2959104205170716,0.8,1.0,2.0,0.011400119301575223,0.8,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0150897431023373,0.0,0.0,2.0,0.8346675581510651,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.224530390823739,0.0,0.0,2.0,0.9284567358357805,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0651056195255464,0.0,0.0,2.0,0.9561423653684046,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.7071783904793569,0.0,0.0,2.0,1.0703752417542405,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.7411974832438477,0.0,0.0,2.0,1.1266945091591756,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.7707513418631432,0.0,0.0,2.0,0.8874024864390401,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.68747693574724,0.0,0.0,2.0,1.1404703389727993,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.1879711214729491,0.0,0.0,2.0,1.0082531904895577,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.7790994921999286,0.0,0.0,2.0,0.444321919284444,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0631337616404457,0.0,0.0,2.0,0.6103697365510794,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.6584325122824471,0.0,0.0,2.0,0.6995786362539718,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.8906594681039351,0.0,0.0,2.0,1.0443887709591744,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.8486803241045489,0.0,0.0,2.0,1.168669215406057,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.1629981371822735,0.0,0.0,2.0,1.3958853264995603,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.3678352470220305,0.0,0.0,2.0,1.2686641062922261,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.0055875453973988,0.0,0.0,2.0,0.6343702647055947,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.7430507968569364,0.0,0.0,2.0,0.9951474879793006,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.1236774467090793,0.0,0.0,2.0,0.6767340110265478,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.2486241867754801,0.0,0.0,2.0,0.7019435559715959,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.9459299460407635,0.0,0.0,2.0,1.1721229473051473,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.20869703794636751,0.0,0.0,2.0,0.9736753360263583,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.2927156783206655,0.0,0.0,2.0,1.0044508140838107,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.3420598542265787,0.0,0.0,2.0,1.2950761988832054,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.2214967546915603,0.0,0.0,2.0,0.7327165051233502,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.6147505732622034,0.0,0.0,2.0,1.209063062495876,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.4076109156173644,0.0,0.0,2.0,0.7222787276645382,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.8685315198293768,0.0,0.0,2.0,1.001541715217729,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.2035472531198588,0.0,0.0,2.0,1.1101397665220405,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.1105709907191137,1.0,0.0,0.0,-0.268970300068854,1.0,1.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,1.2280784662608695,0.0,0.0,2.0,1.1953276336398553,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.4515306175605943,0.0,0.0,2.0,1.3534653820285372,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.789729493100009,0.0,0.0,2.0,1.390235929414507,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.5434889080014215,0.0,0.0,2.0,1.5618282744194283,0.0,0.0
SoftMax×TS_0.0_0.1_PG_WP,2.0,0.8466835549291802,0.0,0.0,2.0,1.016792857462981,0.0,0.0
